decision,Gold_benefits,Platinum_upgrade,Platinum_upgrade_merit,age,female,income,group
0.0,0,0,1,38.0,0,60000000,2.0
0.0,0,0,1,34.0,1,564000000,2.0
0.0,0,0,1,37.416668,0,400000000,2.0
0.0,0,1,0,54.916668,0,390000000,1.0
0.0,1,0,0,51.583332,0,60000000,0.0
0.0,1,0,0,48.833332,0,325000000,0.0
0.0,1,0,0,55.666668,0,60000000,0.0
0.0,0,1,0,64.083336,0,500000000,1.0
0.0,0,0,1,35.916668,0,381000000,2.0
0.0,0,0,1,47.75,0,288000000,2.0
0.0,0,1,0,47.083332,1,60000000,1.0
0.0,0,1,0,44.333332,0,60000000,1.0
0.0,1,0,0,47.083332,0,60000000,0.0
0.0,0,1,0,49.25,1,40000000,1.0
0.0,1,0,0,50.5,1,60000000,0.0
1.0,1,0,0,32.416668,0,60000000,0.0
0.0,0,0,1,48.75,1,60000000,2.0
0.0,0,1,0,47.916668,1,60000000,1.0
0.0,1,0,0,52.583332,0,640000000,0.0
1.0,1,0,0,42.0,0,60000000,0.0
0.0,0,1,0,50.833332,0,1000000000,1.0
1.0,0,0,1,39.666668,0,60000000,2.0
0.0,0,1,0,42.083332,0,60000000,1.0
0.0,0,0,1,36.583332,1,350000000,2.0
0.0,1,0,0,57.583332,1,60000000,0.0
1.0,0,0,1,42.083332,0,60000000,2.0
0.0,0,0,1,53.0,0,60000000,2.0
0.0,0,1,0,44.833332,0,60000000,1.0
1.0,1,0,0,48.5,1,500000000,0.0
0.0,0,1,0,48.583332,0,60000000,1.0
0.0,0,0,1,38.416668,0,180000000,2.0
0.0,0,1,0,57.666668,0,60000000,1.0
0.0,1,0,0,49.666668,0,335000000,0.0
1.0,0,1,0,41.083332,1,60000000,1.0
0.0,0,0,1,52.583332,0,60000000,2.0
0.0,0,0,1,64.916664,1,60000000,2.0
0.0,0,1,0,52.666668,0,60000000,1.0
1.0,0,0,1,38.0,0,500000000,2.0
0.0,0,0,1,62.916668,0,60000000,2.0
0.0,1,0,0,58.833332,0,440000000,0.0
0.0,0,0,1,45.25,1,60000000,2.0
0.0,1,0,0,41.666668,1,300000000,0.0
1.0,0,0,1,64.916664,0,60000000,2.0
0.0,1,0,0,37.666668,0,178000000,0.0
0.0,0,1,0,47.0,0,60000000,1.0
0.0,0,1,0,27.25,0,180000000,1.0
0.0,0,1,0,41.083332,1,60000000,1.0
0.0,0,1,0,53.25,0,60000000,1.0
0.0,0,0,1,39.666668,1,312000000,2.0
0.0,1,0,0,47.666668,0,65000000,0.0
1.0,0,1,0,39.0,0,60000000,1.0
0.0,0,0,1,28.833334,0,1000000000,2.0
0.0,1,0,0,33.583332,0,300000000,0.0
1.0,0,0,1,28.75,0,766000000,2.0
0.0,1,0,0,42.0,0,60000000,0.0
0.0,0,1,0,58.333332,0,1000000000,1.0
1.0,0,0,1,53.166668,0,60000000,2.0
0.0,0,1,0,51.75,0,60000000,1.0
0.0,1,0,0,42.916668,0,200000000,0.0
0.0,1,0,0,47.666668,0,204000000,0.0
1.0,0,1,0,43.166668,0,60000000,1.0
